Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
3,1980,31,61,45,43,38.5,50,44.3,2.1,0.36
4,1980,35,76,54,48,42.8,60.4,51.6,3.23,1.06
5,1980,37,77,50,49,46.5,61.9,54.2,0.97,0.53
6,1980,44,73,53,52,50.2,64.7,57.5,1.77,0.37
7,1980,49,85,60,61,54.3,73.3,63.8,0.46,0.21
8,1980,46,87,57,58,52.9,70.9,61.9,0.64,0.34
9,1980,48,79,56,56,51.8,67.4,59.6,1.43,0.38
10,1980,35,82,56,55,45.4,62.3,53.8,1.32,0.68
11,1980,31,71,54,42,41.5,51.9,46.7,7.16,1.26
12,1980,22,63,55,33,39.9,48.2,44,7.39,1.22
1,1981,29,64,50,40,38.2,50.5,44.4,2.42,0.4
2,1981,26,65,49,40,37.8,50.5,44.2,4.45,0.79
3,1981,34,67,49,47,41.6,56,48.8,2.23,0.56
4,1981,34,73,52,46,42.1,57.1,49.6,1.58,0.31
5,1981,39,77,56,54,46.9,62.5,54.7,1.33,0.41
6,1981,44,80,54,57,50,65,57.5,2.31,0.81
7,1981,47,87,61,60,54.3,72.3,63.3,1.38,0.85
8,1981,50,99,68,63,57,79.1,68.1,0.25,0.12
9,1981,44,94,57,59,51.6,70.5,61,3.42,1.04
10,1981,38,64,53,50,44.8,57,50.9,6.4,2.72
11,1981,28,67,50,41,41.4,52.9,47.1,4.07,1.33
12,1981,31,56,45,37,37.3,46,41.7,5.56,0.73
1,1982,14,54,44,25,35.4,43.2,39.3,5.35,1.09
2,1982,24,60,50,38,36.7,47.5,42.1,7.57,1.4
3,1982,30,62,44,43,36.9,51.2,44,3.73,0.48
4,1982,34,77,48,46,38.8,55.9,47.4,2.07,0.79
5,1982,39,80,51,54,45.6,63.7,54.6,0.63,0.13
6,1982,45,94,64,60,53,73.2,63.1,1.03,0.58
7,1982,49,87,58,59,53.8,71.7,62.8,0.59,0.17
8,1982,49,88,61,62,55.7,74.5,65.1,0.62,0.33
9,1982,43,87,59,59,52.3,68.8,60.6,1.49,0.61
10,1982,36,69,54,50,45.8,59.6,52.7,4.07,1.53
11,1982,29,61,45,42,37.2,49.1,43.2,5.31,1.06
12,1982,25,57,45,36,35.9,45.6,40.7,6.86,1.66
1,1983,29,56,48,42,39.9,50,44.9,7.07,1.35
2,1983,32,62,51,45,41.2,52.6,46.9,4.57,0.58
3,1983,39,63,52,47,42.9,55.8,49.3,3.81,0.7
4,1983,36,74,48,47,41.8,59.5,50.7,1.06,0.39
5,1983,42,92,58,53,49,66.3,57.7,2.1,0.66
6,1983,49,79,57,58,52.3,67.5,59.9,1.85,0.88
7,1983,50,85,59,63,55.2,71.3,63.2,2.39,0.4
8,1983,53,81,61,62,57.2,74,65.6,1.9,0.87
9,1983,39,77,58,58,50.4,66.1,58.3,1.85,0.59
10,1983,37,63,52,51,45.2,58.1,51.6,1.34,0.4
11,1983,33,62,51,43,43,52.5,47.7,7.97,1.2
12,1983,9,51,46,23,31.5,40.7,36.1,5.02,1.02
1,1984,21,61,49,37,38.5,47.8,43.2,3.62,1.36
2,1984,31,60,46,44,38.9,50.7,44.8,3.91,0.74
3,1984,33,64,49,46,41.7,55.2,48.5,3.91,0.76
4,1984,36,83,48,48,41,56.4,48.7,2.87,0.64
